music,artist,duration_ms,music_popularity,genres,artist_popularity,followers,liked
Hurt,NewJeans,177946,74,['k-pop'],80,10899590,1
Gravity,John Mayer,245826,76,['singer-songwriter'],79,6181000,1
If I Ain't Got You,Alicia Keys,228706,85,"['r&b', 'neo soul']",81,12650472,1
Love,Keyshia Cole,255333,85,['r&b'],73,4224826,1
Home,Michael Bublé,225906,75,['christmas'],75,6873401,1
Don't Look Back in Anger - Remastered,Oasis,289560,77,"['britpop', 'madchester']",81,11697818,1
Lego House,Ed Sheeran,185093,76,['soft pop'],92,121000076,1
Colors,Black Pumas,246586,71,['retro soul'],65,1147039,1
Lay Me Down (feat. John Legend),Sam Smith,219535,69,['soft pop'],84,25892755,1
"10,000 Hours (with Justin Bieber)",Dan + Shay,167693,70,['country'],70,3201925,1
Talullah,Jamiroquai,362066,62,['acid jazz'],72,2661159,1
Normal Girl,SZA,253586,77,['r&b'],93,30926832,1
"Sitting, Waiting, Wishing",Jack Johnson,183720,71,['surf rock'],78,4010553,1
Lucky,Jason Mraz,189613,75,"['soft pop', 'acoustic pop']",75,7308265,1
Beyond,Leon Bridges,240600,78,['retro soul'],76,1864962,1
Cold Blooded,Gary Clark Jr.,223093,47,"['modern blues', 'blues rock', 'blues', 'soul blues']",58,966550,1
Won't Go Home Without You,Maroon 5,231173,79,['pop'],89,45106925,1
New Light,John Mayer,217426,78,['singer-songwriter'],79,6181000,1
Coming Home,Leon Bridges,206386,80,['retro soul'],76,1864962,1
Banana Pancakes,Jack Johnson,191906,74,['surf rock'],78,4010553,1
She Will Be Loved - Radio Mix,Maroon 5,259453,87,['pop'],89,45106925,1
Coastline,Hollow Coves,233973,80,['indie folk'],68,778579,1
River,Leon Bridges,240200,80,['retro soul'],76,1864962,1
Say You Won't Let Go,James Arthur,211466,89,['soft pop'],83,20367811,1
I Got You,Jack Johnson,179346,70,['surf rock'],78,4010553,1
Daughters,John Mayer,237906,69,['singer-songwriter'],79,6181000,1
